seq,sqcand,n,nm,cc,nv,e,st,dvt,vap,pvap,turno,totalizacao_final,uf
3,220000724827,55,DIOGO SILVA,PSD - PMN / PSD,SIDNEI DA COOPERATIVA,n,Não eleito,Válido,1178,"  16,28",1,s,ro
4,220001112786,12,LEONILDE GARDA,PDT,APARECIDO CARLOS RIBEIRO,n,Não eleito,Válido,1104,"  15,26",1,s,ro
1,220000917846,15,ARMANDO,MDB - REPUBLICANOS / MDB,CLAUDIO DO MARACUJA,s,Eleito,Válido,2793,"  38,61",1,s,ro
2,220000731145,15,OSMY TOLEDO,MDB,ELIEUZA AMORIM,n,Não eleito,Válido,1266,"  40,52",1,s,ro
1,220000872155,13,TONIN ZOTESSO,PT - PSD / PT,JOSMAR TEIXEIRA,s,Eleito,Válido,1507,"  48,24",1,s,ro
3,220001041163,11,VALDIR MENDES DE CASTRO,PP,JAIRO COELHO,n,Não eleito,Válido,351,"  11,24",1,s,ro
1,220000768578,55,GILLIARD GOMES,PSD - REPUBLICANOS / MDB / PSD,GILMAR DO PALMARES,s,Eleito,Válido,2566,"  42,85",1,s,ro
4,220000870454,40,ERASMO VIZILATO,PSB,REGIGLEI GIL,n,Não eleito,Válido,834,"  13,93",1,s,ro
2,220001068030,12,JOSE ABEL,PDT - PDT / DEM / PV,ROSE DO LIMA,n,Não eleito,Válido,1360,"  22,71",1,s,ro
3,220000788775,45,DR JOÃO MOREIRA,PSDB - PT / PSDB,CARLINHOS DO SINDICATO,n,Não eleito,Válido,1228,"  20,51",1,s,ro
5,220001256807,15,RENI,MDB,DIRCEU,n,Não eleito,Anulado sub judice,261,"   3,80",1,s,ro
4,220000786318,40,MARCELO DA PC,PSB,RUBÃO DA PADARIA,n,Não eleito,Válido,563,"   8,20",1,s,ro
2,220001136294,14,SERJÃO,PTB - REPUBLICANOS / PTB,BRANCO DA T VINTE,n,Não eleito,Válido,1842,"  26,84",1,s,ro
1,220000991849,11,CELIO LANG,PP - PP / PDT / DEM / PV / PATRIOTA,ROBERTO,s,Eleito,Válido,3591,"  52,32",1,s,ro
3,220000653184,90,JULIO DA C DOIS,PROS,SERGINHO DA QUATORZE,n,Não eleito,Válido,606,"   8,83",1,s,ro
1,220001152291,15,ANILDO ALBERTON,MDB - PT / PSDB / PSB / PSD / MDB,ANTÔNIO DO MICRO ÔNIBUS,s,Eleito,Válido,3133,"  68,15",1,s,ro
2,220000987896,12,AFONSO FREITAS,PDT - REPUBLICANOS / PDT / PTB,EDINALDO DA SAÚDE,n,Não eleito,Válido,1464,"  31,85",1,s,ro
1,220001275174,90,PROFESSORA POLIANA GASQUI,PROS - PROS / PSDB / DEM / PSD / PSL / PSB,ADRIANO ROXA,s,Eleito,Válido,2484,"  55,57",1,s,ro
2,220000768517,15,LUIZ DO HOTEL,MDB - MDB / PODE / PATRIOTA,ALFREDO JUNIOR,n,Não eleito,Válido,1986,"  44,43",1,s,ro
